Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,To Grade
2013-05-30,34.653684145190326,35.05989272326124,34.37354278564453,34.37354278564453,12459800,0.0,0.0,4.0
2013-05-31,34.24748253043574,34.975852293850416,33.94632859423808,33.953330993652344,19667500,0.0,0.0,4.0
2013-06-03,33.91831718904882,34.11441645291199,33.45608130161986,34.07939910888672,17573200,0.0,0.0,4.0
2013-06-04,34.079391233349405,34.639676623231445,33.89029441332956,34.2054557800293,19897100,0.0,0.0,4.0
2013-06-05,34.25447360667073,34.26848107252075,33.77823045437384,33.82725524902344,11309100,0.0,0.0,4.0
2013-06-06,33.82725487006589,35.080894997263535,33.72220288484402,34.99685287475586,17669600,0.0,0.0,4.0
2013-06-07,35.13691614619516,35.234968389185646,34.856774895459395,35.185943603515625,12000100,0.0,0.0,4.0
2013-06-10,35.62717493245314,35.62717493245314,35.10190695996667,35.38905334472656,9617400,0.0,0.0,4.0
2013-06-11,35.17194346023122,35.571146896141165,34.968839207813595,35.14392852783203,9913100,0.0,0.0,4.0
2013-06-12,35.347037504153505,35.41006977465003,34.83577694197112,34.94783401489258,8216000,0.0,0.0,4.0
2013-06-13,34.94083072833782,35.51512359032744,34.877798454624255,35.46609878540039,7147000,0.0,0.0,4.0
2013-06-14,35.431078849777265,35.90732206697211,35.40306391425962,35.767250061035156,12020500,0.0,0.0,4.0
2013-06-17,36.03339482809683,36.15945939504333,35.262999955462476,35.51512908935547,9886600,0.0,0.0,4.0
2013-06-18,35.599179836349784,36.201485157701896,35.55015234402519,36.10343551635742,11104200,0.0,0.0,4.0
2013-06-19,35.935342684362546,36.03339230252601,35.04588837842695,35.05289077758789,11188400,0.0,0.0,4.0
2013-06-20,34.800773438905665,34.919835638149316,34.2194779323594,34.289512634277344,14661600,0.0,0.0,4.0
2013-06-21,34.61866938203493,34.86379342381136,34.38755013837285,34.68170166015625,35016000,0.0,0.0,4.0
2013-06-24,34.3525331135602,34.60466222834844,34.18444881813584,34.40155792236328,29396300,0.0,0.0,4.0
2013-06-25,34.61867084388249,35.49411770383976,34.61867084388249,35.32603073120117,31408000,0.0,0.0,4.0
2013-06-26,35.57814831341061,35.60616324503812,35.18594995722911,35.480098724365234,9200100,0.0,0.0,4.0
2013-06-27,35.69021626099415,36.068409938438265,35.66920639168672,35.718231201171875,8633500,0.0,0.0,4.0
2013-06-28,35.66920773652125,35.879314452472386,35.248994304618996,35.25599670410156,11162600,0.0,0.0,4.0
2013-07-01,35.22097565159665,35.473104752827936,35.14393590714803,35.27000045776367,9746200,0.0,0.0,4.0
2013-07-02,35.270001981823405,35.74624526658342,35.15093982480756,35.45909881591797,9660800,0.0,0.0,4.0
2013-07-03,35.41006868482544,35.92132923127263,35.333028948628375,35.72522735595703,5965700,0.0,0.0,4.0
2013-07-05,35.92832946777344,35.92832946777344,35.25598709138648,35.92832946777344,8024400,0.0,0.0,4.0
2013-07-08,36.151180716292295,36.37049414100439,35.93894339814016,36.20070266723633,7234600,0.515,0.0,4.0
2013-07-09,36.43416810029719,36.49076616167541,35.98846781254812,36.05213928222656,6737900,0.0,0.0,4.0
2013-07-10,36.03799860697841,36.14411864872169,35.67011921401177,35.7550163269043,8373800,0.0,0.0,4.0
2013-07-11,36.08044184340835,36.28560578786364,35.917726449140346,36.229007720947266,10229300,0.0,0.0,4.0
